Company Name,Location,Owner,Email,Phone,Address,Website,Founded,Industry,Services,Notes,
HELBLING PRECISION ENGINEERING INC,CAMBRIDGE,Sebastian Beck - Director Cole Constantineau - Coordinator,,(617) 475-1560,14 Broadway Cambridge MA 02142,helblingusa.com,,Precision Engineering,MedTech robotics lab systems product development prototyping surgical instruments,29 employees part of Helbling Technik 600+ engineers worldwide,
BOSTON LASERS PRECISION CUT LLC,AMESBURY,Roland Lemieux,See website,(978) 521-6216,16 S Hunt Rd Unit 6 Amesbury MA 01913,bostonlasers.com,2004,Laser Cutting,Precision laser cutting engraving marking CNC router cutting,Most accurate laser cutting tables PO Box 527 Northwood NH 03261 3 employees $278K revenue,
HIGH PERFORMANCE TOOLING INC,ASHLAND,Pierce Ellis - President,,,23 Lancaster Rd Northborough MA,highperformancetooling.com,,High Performance Tooling,Next generation tooling and coatings,Travel 6 New England states BBB listed in Northborough not Ashland,
PRECISION DIGITAL CORP,HOPKINTON,Jeffrey Peters,(508) 655-7300,(508) 655-7300,233 South St Hopkinton MA 01748,www.predig.com,1974,Digital display and control instrumentation,Industrial processes worldwide,,
CARTESIAN CNC INC.,WINCHESTER,,,,,,,CNC Machining,,No information found in public records - no online presence or business listings found,
WOODMAN PRECISION ENGINEERING INC,PEABODY,,,,,,,Precision Engineering,,,
TATTERSALL MACHINING INC,UPTON,Bruce Tattersall (Owner),See website,(508) 529-2300,190 Milford Street Upton MA 01568,tattersallmachining.com,,Machining,CNC lathe milling machining prototype to production runs 13 employees $1.8M revenue,35+ years in business fax (508) 529-6634,
STD PRECISION GEAR & INSTRUMENT INC,WEST BRIDGEWATER,James Manning (Owner),See website,(508) 580-0035,318 Manley Street West Bridgewater MA 02379,stdgear.com,1986,Precision Gear/Instruments,High precision AGMA Q14 complexly configured tightly toleranced gears splines mechanical transmission components,25 employees AS9100 ISO 9001 Nadcap accredited NASA ISS Hubble telescope projects fax (508) 580-0071,
Glenn Larzazs   Vice President / Office manager
BAYSIDE MACHINING SERVICE INC.,MATTAPOISETT,,,,,,,Machining Services,,,
Wayland, MA 01778",https://neuralynx.fh-co.com/wp-content/uploads/2023/06/Harlan_8_Drive_Manual.pdf,2000,Specialty Machining,LOVES FLYING MODEL AIRPLANES,No Wayland MA location found - company exists in FL and OK,
KODIAK MACHINING CO INC,IPSWICH,Arthur Gaudet - Owner/President,,(978) 356-9876,20 Hayward St Ipswich MA 01938,kodiakmachine.net,1984,Machining,Medical computer wireless communications military parts 17 employees $2.7M revenue fax (978) 356-9885,Family-owned company 12000+ sq ft facility established by Arthur Gaudet,
BTD PRECISION INC,CHICOPEE,,,,,75 Marion Street Chicopee MA 01013,,1985,Precision Manufacturing,Special Dies and Tools,Company closed - owner retired 2021 auction
WHALLEY PRECISION INC,SOUTHWICK,David Whalley,info@whalleyprecision.com,(413) 569-1400,28 Hudson Drive Southwick MA 01077,www.whalleyprecision.com,1990,Precision Manufacturing,Precision manufacturing services difficult to machine hi-temp & super-alloys like Inconel Monel Kovar & MP35N,AS9100D/ISO 9001:2015 & FAA/EASA certified family-owned 34+ years,
KMAC MACHINING LLC,BROCKTON,,,,,,,Machining,,No information found in public records - no online presence or business listings,
UNITED MACHINING INC,SUTTON,Dylan Polseno (Co-Owner),dylan@unitedmachining.us,(508) 865-3035,219 Whitins Road Unit 5 Sutton MA 01590,unitedmachining.us,,Machining,Swiss Turning/Milling CNC Machine Shop aerospace agriculture automotive defense fiber optics consumer products,One man shop Mon-Fri 8am-4pm also at 12 Westview Dr,
TRUE PRECISION INDUSTRIES INC,WEST SPRINGFIELD,Richard Champigny,rchampigny@trueprecisionind.com,413-788-4226,"17 Allston Ave, West Springfield, MA 01089, United States",https://www.facebook.com/trueprecisionind/,,Precision Industries,,,
B & D PRECISION INC,STONEHAM,Dennis Dillon,,(781) 438-8644,41 Elm Street # 7 Stoneham MA 02180,,Tool & Die/Precision Manufacturing,Precision micro TIG and micro laser welding repair and machining,30+ years design experience 15+ years solid modeling,,
SHATTUCK PRECISION MACHINING COMPANY INC,WESTFORD,Dale Shattuck (Owner),daleshattuck@verizon.net,(978) 392-0848,2 Park Dr Suite 7 Westford MA 01886,shattuck-precision.com,1999,Precision Machining,Crafting custom parts various metal types AutoCAD Iges drawing formats high-tech industry,4 employees $213K revenue fax (978) 392-0874 established 1999/1985,
JRS PRECISION MACHINE&DESIGN L.L.C,MIDDLEBORO,,,,,,,Precision Machine Design,,No specific contact found in Middleboro - veteran-owned shop south of Boston per Facebook,
WEARE CNC INC,SHERBORN,,,,,,,CNC Services,,,
TALCO CNC SOLUTIONS INC.,INDIAN ORCHARD,Thomas LeMay (Owner/CEO),See website,See contact,34 Front St Indian Orchard MA 01151 PO Box 51973,talcocnc.com,2013,CNC Solutions,Exclusive importer Spinner Machinery USA distributor Eurotech Swiss machines New England CNC repair sales training,DUPLICATE ENTRY - 4 staff members $387K revenue,
ARMSTRONG MACHINING LLC,BEVERLY,Ray Armstrong,,(978) 232-9466,117 Elliott St. No. 3 Beverly MA 01915,www.armstrongmachining.com,,Machining,High-quality precision custom machining services for product development prototypes to low volume production,Male owned business 16+ employees,
WACHUSETT PRECISION TOOL INC,FITCHBURG,Matthew Saunders (Co-Owner),See website,(978) 343-6443,830 Westminster St Fitchburg MA 01420,wachusettprecisiontool.com,2016,Precision Tools (Bought out),Concept to Production medical products devices complex packaging prototype pilot class 101 production molds,7 employees $1-5M revenue alt phone (978) 400-7119,
AP PRECISION MACHINE INC,HOLLISTON,Family-owned,Sales@ap-pmi.com,(508) 384-5081,210 Kuniholm Dr. BLD #2 STE #1 Holliston MA 01746,ap-pmi.com,,Precision Machining,18+ years in CNC manufacturing industry family-owned and operated,When you contact them you speak directly with the owner,
SWISS PRECISION PRODUCTS INC,NORTH OXFORD,See website,See website,See contact,627 Main Street North Oxford MA 01537,swissprpr.com,,Swiss Precision Products,VetVu brand veterinary endoscope video equipment accessories trusted since 1970s Schott fiberoptics,LinkedIn 25 followers specializes in crafting veterinary endoscopes,
PRECISION AERO MARINE INC,PLYMOUTH,,,(508) 747-6372,10 Aero Park Dr Plymouth MA 02360,precisionaeromarine.com,39 years,Aero Marine,Boat repair service dealers outboard motors boat motor repair,Accepts American Express MasterCard Visa,
A J PRECISION INC,SOUTHWICK,,,(413) 568-9099,13C Industrial Rd. Southwick MA 01077,www.ajprecision.com,,Precision Machining,High tolerance precision parts for aerospace commercial medical power and industrial sectors,,
INIRAM PRECISION MACHINE TOOL INC.,WALTHAM,,,(978) 854-3037,42 Felton Street Unit 8R Waltham MA 02453,iniram.com,,Precision Machine Tools,Advanced precision machining technology HAMUEL HERMLE exclusive North American importer,DUPLICATE ENTRY - 3 employees $3M revenue,
PINPOINT PRECISION,LUDLOW,,,,,,,Precision Manufacturing,,USDOT 3684618 - limited contact information found,
ACCURATE MACHINING & FABRICATION INC,IPSWICH,Mike?,MIKE@ACCURATEMACHININGMI.COM,(978) 356-0878,56 Turnpike Rd Ipswich MA 01938,shore.net,,Machining/Fabrication,Precision engineering spacious workshop with state-of-the-art machinery diverse machining needs,Experienced technicians meticulous attention to detail fax (219) 945-5750,
ADVANCED PRECISION ENGINEERING INC,IPSWICH,,info@ape10.com,(978) 356-7303,16 Mitchell Road Ipswich MA 01938,www.ape10.com,,Precision Engineering,Machining and assembly manufacturing for defense medical optics robotics semiconductor,ISO AS9100D 9001:2015 ITAR registered,
Email colin@axiscncinc.net
MIKES PRECISION MACHINE INC,BILLERICA,Michael S. Rosa - Owner/President,,(978) 667-9793,14 Hadley St Unit B North Billerica MA 01862,mikesprecisionmachineinc.com,1998,Precision Machining,Aerospace medical optical robotics semiconductor vacuum sealing surfaces 7 employees $945K revenue,FFL holder A+ BBB rating website under construction,
FALCON PRECISION MACHINING COMPANY INC.,LUDLOW,Dennis Brasile - Owner Jeffrey Marcil - President,info@falconwelders.com,(413) 583-2117,97 Center St Ludlow MA 01056,falconwelders.com,1979,Precision Machining,Bandsaw blade welding equipment manufacturing machining services,DUPLICATE ENTRY - Family-run company 46 years 6 employees,
PRECISION COMPONENTS GROUP INC.,SPRINGFIELD,Peter A Elias,peterelias@pcgmfg.com,http://www.pcgmfg.com/contact.html,(413) 333-4184,190 Doty Cir West Springfield MA 01089,,Machining,Components,Aerospace products and parts manufacturing precision machining 3 employees $174K revenue,Located in West Springfield part of greater Springfield area
PRECISION SYSTEMS INC,NATICK,Ann Rogers,[email protected],(508) 655-7010,16 Tech Circle Natick MA 01760,www.precisionsystemsinc.com,1979,Systems,Software engineering and consulting services for medical industrial and military systems,ISO 9001:2015 & ISO 13485:2016 Woman-Owned Small Business 45+ years,
FILTEC PRECISION CERAMICS CORPORATION,WESTFORD,,,(978) 692-6336,2 Technology Park Drive Westford MA 01886,,,Precision Ceramics,Co-fired and high temperature ceramic technologies piezoelectric ceramics,DUPLICATE ENTRY - Advanced ceramic technologies,
SPRINGFIELD CRANKSHAFT AND ENGINE MACHINING LLC,LUDLOW,,,,,,,Crankshaft/Engine Machining,,,
INIRAM PRECISION MACHINE TOOL INC,WALTHAM,,,(978) 854-3037,42 Felton Street Unit 8R Waltham MA 02453,iniram.com,,Precision Machine Tools,Advanced precision machining technology HAMUEL HERMLE exclusive North American importer,3 employees $3M revenue 5-axis sales and service,
PRECISION COATING COMPANY LLC,HUDSON,Bill Ellerkamp - President,everrill@precisioncoating.com,(978) 562-7561,51 Parmenter Rd Hudson MA 01749,precisioncoating.com,,Coating Services,Medical device coatings guide wires surgical instruments orthopedic implants 201 employees $75M revenue,Recently acquired by Integer Holdings Corp Jan 2025 - 5 facilities MA RI Costa Rica,
TMH MACHINING & WELDING CORP,WEST BRIDGEWATER,Tony Hruzd,,(508) 580-6899,https://tmhmachine.com/,https://tmhmachine.com/about-us,"More than 12 people, not ideal",Machining/Welding,,,
PIONEER PRECISION OPTICS INC,FLORENCE,Thomas J McGrath - President,,(413) 341-3992,296c Nonotuck Street Florence MA 01062,pioneerprecisionoptics.com,2013,Precision Optics,High quality precision spherical optics custom optical production build to print,Fax (413) 727-8560 prototype to large volume production runs,
TECHNICAL HARDFACING MACHINING INC,ATTLEBORO,TOO BIG,,,,,,Technical Machining,,,
MAGICHANICS PRECISION INC,STOW,,,,,,,Precision Manufacturing,,No information found in public records or business listings - may be duplicate entry,
MOHAWK PRECISION INC.,WARE,,,,,,,Precision Manufacturing,,No information found in public records - no business listings found,
",(413) 657-6908,39 Gould Rd Ware MA 01082,www.axiscncinc.net,2011,CNC Machining,Advanced manufacturing machining and programming services rapid prototyping short-run and high-volume machining,14 employees serving Central/Western MA since 2011 family-owned by Daniel and Glenn Larzazs,
PRECISION MANUFACTURING LLC,LOWELL,George Sharpe,Precisionmfg@comcast.net,978-452-5345,,https://precisionmanufacturingllc.com/mission-statement/,,Manufacturing,,,
N C PRECISION LLC,NORTH BILLERICA,,,(978) 528-3177,34 Sylvan Rd Billerica MA 01821,ncprecision.com,,Precision Manufacturing,CNC sliding head turning 0.5-35mm diameter stainless steel titanium aluminum 20+ years experience,Ultrasonic cleaning magnetic deburring lapping services,
808 CNC INC.,HUNTINGTON,,,,,,,CNC Machining,,No information found in public records - possible confusion with Zrate CNC at 808 Main St Fitchburg MA,
AP MACHINING LLC,SOUTH HADLEY,Douglas Cervonayco,,,61 North Chicopee Street Chicopee MA 01020,,,Machining,General Machine Shop with CNC and manual machines,Actually located in Chicopee per records,
ACE PRECISION INC,AGAWAM,Tony Elias,TOO BIG I THINK (>7 people) pm@aceprecisioninc.com  ,(413) 789-7536,17 Ace Precision Way Agawam MA 01001,aceprecision.com,1980,Precision Machining,Precision machining for aerospace and commercial industries,ISO9001/AS9100 certified,
BENCO PRECISON MACHINING INC,GLOUCESTER,Ron Benjamin,See contact,(978) 281-2055,10 Pond Rd # B Gloucester MA 01930,,1988,Precision Machining,Machine Shops Automobile Machine Shop,35 years in business 6 employees BBB A+ rating fax (978) 281-3788,
TOOLING RESEARCH INC,WALPOLE,See contact,See website,See contact,81 Diamond St Walpole MA 02081 PO Box 306,tooling-research.com,1983,Tooling Research,Engineering automation research design development manufacturing medical robotics marine chemical handling Valcom division,1-10 employees in business since 1983,
FALCON PRECISION MACHINING COMPANY INC,LUDLOW,Dennis Brasile - Owner Jeffrey Marcil - President,info@falconwelders.com,(413) 583-2117,97 Center St Ludlow MA 01056,falconwelders.com,1979,Precision Machining,Bandsaw blade welding equipment manufacturing machining services,Family-run company 46 years 6 employees $801K revenue,
ATLAS PP MACHINING INC,LOWELL,Carlos Castro,atlasppmachining@gmail.com,(978) 967-9815,50 Foot Off Crosby St Lowell MA 01852,atlasmachininginc.com,2016,Machining,Well-equipped machine shop precision prototype and production manufacturing CNC services,Founded by Carlos Castro with 35+ years CNC experience - duplicate entry,
AA PRECISION MACHINE CO INC,FALL RIVER,Arthur Arruda,??@aaprecisionmachine.com,(508) 673-1698,300 Currant Rd Fall River MA 02720,aaprecisionmachine.com,1966,Precision Machining,CNC machining milling turning drilling grinding welding precision molds CAD/CAM services,,
ENDWELL MACHINING INC,SUTTON,,,,,endwellmachining.com,,Machining,,No contact information found - minimal website presence,
D&D PRECISION MACHINE COMPANY INC,MIDDLEBORO,David DeMoranville,,(508) 946-8010,395 Plymouth Street Middleboro MA 02346,ddprecisionmachineinc.com,2003,Precision Machining,Centerless Grinding CNC Machining Milling Turning,President 23000 sq ft facility 25 employees ISO 9001-2015 certified DUPLICATE ENTRY,
PRECISION DESIGN ENGINEERING CORP,WAREHAM,Ron Gerace (President),info@pdewareham.com,(508) 273-9911,10 Kendrick Road STE 6 Wareham MA 02571,precisiondesignengineering.com,2019,Design Engineering,Technology-enabled advanced CNC manufacturing for military marine medicine ISO 9001:2015 certified,5-10 employees $5-10M revenue founded 2019 by acquiring and merging two engineering firms,
ZEROPOINT PRECISION MACHINING CO INC,WEST BRIDGEWATER,,,,,,,Precision Machining,,,
PRECISION OPTICS CORPORATION INC,GARDNER,Publicly-traded NASDAQ: POCI,sales@poci.com,(978) 630-1800,22 East Broadway Gardner MA 01440,www.poci.com,1982,Precision Optics,Advanced optical instruments medical instruments micro-optics assemblies advanced optical systems,40+ years publicly traded,
