Company Name,Location,Owner,Email,Phone,Address,Website,Founded,Industry,Services,Notes
N C PRECISION LLC,NORTH BILLERICA,,,,,,,Precision Manufacturing,,
NUMERIC MACHINING CO INC,WESTFIELD,,,,,,,Machining,,
PEERLESS PRECISION INC,WESTFIELD,,,,,,,Precision Manufacturing,,
PHOTO CHEMICAL MACHINING INSTITUTE,NORTH ATTLEBORO,,,,,,,Photo Chemical Machining,,
PILOT PRECISION PRODUCTS LLC,SOUTH DEERFIELD,,,,,,,Precision Products,,
PINPOINT PRECISION,LUDLOW,,,,,,,Precision Manufacturing,,
PINPOINT PRECISION INC.,SPRINGFIELD,,,,,,,Precision Manufacturing,,
PIONEER PRECISION OPTICS INC,FLORENCE,,,,,,,Precision Optics,,
PRECISION AERO MARINE INC,PLYMOUTH,,,,,,,Aero Marine,,
PRECISION AEROSPACE COMPONENTS INC,GROVELAND,,,,,,,Aerospace Components,,
PRECISION AEROSPACE COMPONENTS INC.,GROVELAND,,,,,,,Aerospace Components,,
PRECISION BILLET INC,GRANBY,Robin D. Giroux,,(413) 255-0183,148 Porter Street Granby MA 01033,,2012,Precision Billet,Design Services,~$282633 annual revenue ~3 staff
PRECISION CIRCUIT CORPORATION,NORTON,,,,,,,Circuit Manufacturing,,
PRECISION COATING COMPANY LLC,HUDSON,,,,,,,Coating Services,,
PRECISION COMPONENTS GROUP INC.,SPRINGFIELD,,,,,,,Components,,
PRECISION COMPONENTS GROUP INC.,SPRINGFIELD,,,,,,,Components,,
PRECISION DESIGN ENGINEERING CORP,WAREHAM,,,,,,,Design Engineering,,
PRECISION DIGITAL CORP,HOPKINTON,Jeffrey Peters,(508) 655-7300,(508) 655-7300,233 South St Hopkinton MA 01748,www.predig.com,1974,Digital display and control instrumentation,Industrial processes worldwide,
PRECISION ELASTOMERS INC,IPSWICH,,,,,,,Elastomers,,
PRECISION ELECTRONICS CORP,MARSHFIELD,,,(781) 834-6677,427 Plain St Marshfield MA 02050,precisionelectronics.com,1951,Electronics,High-quality industrial and military potentiometers,Aerospace telecommunications industrial manufacturers 70+ years
PRECISION FEEDING SYSTEMS INC,HAMPDEN,,,,,,,Feeding Systems,,
PRECISION HANDLING INC,WESTPORT,,,,,,,Handling Services,,
PRECISION HANDLING PRINTER PARTS LLC,WESTPORT,,,,,,,Printer Parts,,
PRECISION HYDRAULIC INC,DEDHAM,,,,,,,Hydraulics,,
PRECISION MACHINISTS COMPANY INC,CHELMSFORD,,,,,,,Machining,,
PRECISION MACHINISTS COMPANY INC.,CHELMSFORD,,,,,,,Machining,,
PRECISION MANUFACTURING LLC,LOWELL,,,,,,,Manufacturing,,
PRECISION MECHANICAL DRAFTING INC,LONGMEADOW,,,,,,,Mechanical Drafting,,
PRECISION MECHANICAL DRAFTING INC.,LONGMEADOW,,,,,,,Mechanical Drafting,,
PRECISION MECHANICAL WATERFLOW INC,REVERE,,,,,,,Mechanical Waterflow,,
PRECISION MICRO-OPTICS INC,BURLINGTON,,,,,,,Micro-Optics,,
PRECISION MICRO-OPTICS INC.,BURLINGTON,,,,,,,Micro-Optics,,
PRECISION OPTICS CORPORATION INC,GARDNER,Publicly-traded NASDAQ: POCI,sales@poci.com,(978) 630-1800,22 East Broadway Gardner MA 01440,www.poci.com,1982,Precision Optics,Advanced optical instruments medical instruments micro-optics assemblies advanced optical systems,40+ years publicly traded
PRECISION PASTA DIES INC,DRACUT,,,,,,,Pasta Dies,,
PRECISION PATTERN INCORPORATED,METHUEN,,,,,,,Pattern Services,,
PRECISION PATTERN INCORPORATED,METHUEN,,,,,,,Pattern Services,,
PRECISION PLASTICS INC,WILMINGTON,,,,,,,Plastics,,
PRECISION SENSING DEVICES INC,MEDFIELD,,,,,,,Sensing Devices,,
PRECISION SPORTSWEAR INC,FALL RIVER,,,,,,,Sportswear,,
PRECISION SWABS OF NORTH AMERICA LTD,HATFIELD,,,,,,,Swabs/Medical Supplies,,
PRECISION SWABS OF NORTH AMERICA LTD,HATFIELD,,,,,,,Swabs/Medical Supplies,,
PRECISION SYSTEMS INC,NATICK,Ann Rogers,[email protected],(508) 655-7010,16 Tech Circle Natick MA 01760,www.precisionsystemsinc.com,1979,Systems,Software engineering and consulting services for medical industrial and military systems,ISO 9001:2015 & ISO 13485:2016 Woman-Owned Small Business 45+ years
PRECISION TAPE AND LABEL CO. INC`,UXBRIDGE,,,,,,,Tape/Label,,
PRECISION TEXTILE COLOR INCORPORATED,BROCKTON,,,,,,,Textile Color,,
PRECISION TOOL & ABRASIVE SALES INC,AUBURN,,,,,,,Tool/Abrasive Sales,,
PRECISION TURNING INC,SAUGUS,,,,,,,Turning/Machining,,
PRECISION VISION INC,PEABODY,,,,,,,Vision/Optics,,
PRECISION WELDING AND LASER INC,CHARLTON,,,,,,,Welding/Laser,,
PRECISION WELDING AND LASER INC.,CHARLTON,,,,,,,Welding/Laser,,
PRECISION WIRE SHAPES INC,WEST BROOKFIELD,,,,,,,Wire Shapes,,
PRECISIONARY INSTRUMENTS LLC,ASHLAND,,,,,,,Instruments,,
PRIDE MACHINING INC,WESTFIELD,,,,,,,Machining,,
R & M PRECISION MACHINE CO. I,FALL RIVER,,,,,,,Precision Machining,,
RC MACHINING INC,GLOUCESTER,,,,,,,Machining,,
RESEARCH PRECISION INSTRUMENTS COMPANY INC,NATICK,,,,,,,Research Instruments,,
RM PRECISION MACHINE COMPANY,TEWKSBURY,,,,,,,Precision Machining,,
RM PRECISION MACHINE COMPANY. INC,TEWKSBURY,,,,,,,Precision Machining,,
ROGERS GENERAL MACHINING INC,CHICOPEE,,,,,,,General Machining,,
SANTIAGO'S MACHINING LLC,BILLERICA,,,,,,,Machining,,
SHATTUCK PRECISION MACHINING COMPANY INC,WESTFORD,,,,,,,Precision Machining,,
SPECIALTY MACHINING INC,WAYLAND,,,,,,,Specialty Machining,,
SPRINGFIELD CRANKSHAFT AND ENGINE MACHINING LLC,LUDLOW,,,,,,,Crankshaft/Engine Machining,,
STD PRECISION GEAR & INSTRUMENT INC,WEST BRIDGEWATER,,,,,,,Precision Gear/Instruments,,
STERLING PRECISION LLC,CLINTON,,,,,,,Precision Manufacturing,,
SWISS PRECISION PRODUCTS INC,NORTH OXFORD,,,,,,,Swiss Precision Products,,
TALCO CNC SOLUTIONS INC,INDIAN ORCHARD,,,,,,,CNC Solutions,,
TALCO CNC SOLUTIONS INC.,INDIAN ORCHARD,,,,,,,CNC Solutions,,
TATTERSALL MACHINING INC,UPTON,,,,,,,Machining,,
TECHNICAL HARDFACING AND MACHINING INC.,ATTLEBORO,,,,,,,Technical Machining,,
TECHNICAL HARDFACING MACHINING INC,ATTLEBORO,,,,,,,Technical Machining,,
TMH MACHINING & WELDING CORP,WEST BRIDGEWATER,,,,,,,Machining/Welding,,
TOOLING RESEARCH INC,WALPOLE,,,,,,,Tooling Research,,
TRI STATE PRECISION INC,NORTHFIELD,,,,,,,Precision Manufacturing,,
TRUE PRECISION INDUSTRIES INC,WEST SPRINGFIELD,,,,,,,Precision Industries,,
UNITED MACHINING INC,SUTTON,,,,,,,Machining,,
VALCO PRECISION MACHINE INC,BROCKTON,,,,,,,Precision Machining,,
VAN PELT PRECISION INC,THREE RIVERS,,,,,,,Precision Manufacturing,,
VAN PELT PRECISION INC.,WESTFIELD,,,,,,,Precision Manufacturing,,
VISION MACHINING INC,WEST HATFIELD,,,,,,,Vision Machining,,
WACHUSETT PRECISION TOOL INC,FITCHBURG,,,,,,,Precision Tools,,
WACHUSETT PRECISION TOOL INC.,FITCHBURG,,,,,,,Precision Tools,,
WEARE CNC INC,SHERBORN,,,,,,,CNC Services,,
WHALLEY PRECISION INC,SOUTHWICK,David Whalley,info@whalleyprecision.com,(413) 569-1400,28 Hudson Drive Southwick MA 01077,www.whalleyprecision.com,1990,Precision Manufacturing,Precision manufacturing services difficult to machine hi-temp & super-alloys like Inconel Monel Kovar & MP35N,AS9100D/ISO 9001:2015 & FAA/EASA certified family-owned 34+ years
WOOD PRECISION INC,MALDEN,,,,,,,Precision Manufacturing,,
WOODMAN PRECISION ENGINEERING INC,PEABODY,,,,,,,Precision Engineering,,
X-CELL MACHINING TECHNOLOGY INC,WEST WAREHAM,,,,,,,Machining Technology,,
ZEROPOINT PRECISION MACHINING CO INC,WEST BRIDGEWATER,,,,,,,Precision Machining,,
ZRATE CNC LLC,FITCHBURG,,,,,,,CNC Services,,
